市,区,lat,lng
兰州市,城关区,28.636601,115.921954
上饶市,信州区,43.998252,125.344899
南昌市,青云谱区,29.630548,106.374805
长春市,宽城区,24.53619,117.983956
重庆市,沙坪坝区,42.04385,123.51869
厦门市,海沧区,26.307449,117.630501
沈阳市,沈北新区,29.487115,119.379533
三明市,梅列区,39.612987,118.20604
杭州市,建德市,38.386407,109.642692
唐山市,路南区,34.709004,113.721861
榆林市,榆阳区,23.69111,117.425416
郑州市,管城回族区,32.012518,118.713342
南京市,建邺区,28.548659,121.450242
漳州市,东山县,38.076875,114.592622
石家庄市,长安区,32.526452,120.090816
台州市,路桥区,35.615761,117.03179
泰州市,姜堰市,39.084494,117.236165
济宁市,曲阜市,42.248295,123.858516
天津市,河西区,43.78386,87.632903
铁岭市,银州区,22.660133,113.06077
江门市,蓬江区,31.960263,119.644304
乌鲁木齐市,天山区,22.84851,113.18703
镇江市,丹阳市,25.26467,110.356588
佛山市,顺德区,38.465839,115.057407
保定市,定州市,27.427583,103.607277
桂林市,七星区,29.785459,121.537835
宁波市,鄞州区,31.863971,118.835418
昭通市,昭阳区,34.892715,116.992409
南京市,江宁区,28.857389,121.221919
济宁市,微山县,38.183286,114.95114
台州市,临海市,39.789909,118.05949
石家庄市,无极县,36.005019,120.169541
青岛市,黄岛区,22.388215,113.034751
唐山市,丰润区,31.597341,120.328903
无锡市,崇安区,29.378028,106.758274
江门市,新会区,41.786474,123.414332
重庆市,巴南区,30.777679,120.691907
沈阳市,和平区,22.675317,112.801618
嘉兴市,秀洲区,29.6994,120.281434
江门市,鹤山市,21.764842,108.02974
绍兴市,诸暨市,39.938574,116.421885
临沂市,兰山区,35.380135,116.572199
防城港市,防城区,37.399344,122.152075
东莞市,东城区,32.201996,119.584822
济宁市,任城区,40.215925,117.150433
威海市,环翠区,29.526266,119.910488
镇江市,京口区,30.547265,114.217592
金华市,浦江县,39.035065,117.126201
北京市,平谷区,31.615587,120.491008
无锡市,锡山区,29.55767,114.615246
天津市,西青区,34.797406,113.708011
武汉市,汉阳区,43.689109,125.278226
咸宁市,通山县,30.839504,104.116583
郑州市,金水区,46.079315,126.787757
长春市,朝阳区,39.967428,117.021284
哈尔滨市,呼兰区,32.071766,118.848937
成都市,新都区,33.745462,120.279505
廊坊市,三河市,42.523754,122.474173
南京市,玄武区,34.255485,108.966259
盐城市,射阳县,31.954552,118.721979
阜新市,彰武县,27.670445,106.922651
西安市,碑林区,26.886509,112.555047
南京市,雨花台区,29.97804,120.889432
遵义市,红花岗区,35.174845,118.312243
衡阳市,蒸湘区,43.732191,125.419649
绍兴市,上虞市,39.116987,117.162728
长春市,南关区,45.813494,130.893188
天津市,南开区,29.876801,121.535395
七台河市,新兴区,29.367743,113.15537
岳阳市,岳阳楼区,39.615544,117.411421
天津市,宝坻区,32.934703,112.613908
宁波市,海曙区,28.260219,113.02473
南阳市,宛城区,25.468258,118.704626
长沙市,开福区,41.843551,123.242847
吉林市,昌邑区,44.023898,126.326513
莆田市,仙游县,30.786572,103.929532
成都市,高新西区,39.259131,117.180606
沈阳市,于洪区,28.41158,119.441013
天津市,北辰区,24.919162,113.57745
舟山市,定海区,41.155831,121.969629
丽水市,松阳县,30.064847,122.073024
韶关市,浈江区,41.835279,123.498927
盘锦市,兴隆台区,30.495371,114.174946
武汉市,武汉经济技术开发区,28.203811,113.020969
沈阳市,大东区,37.344146,120.400517
南宁市,西乡塘区,22.912937,108.215442
湖州市,德清县,30.567583,120.049831
六安市,舒城县,30.728613,104.615371
长沙市,芙蓉区,31.17987,120.365776
成都市,金堂县,39.381561,117.689424
烟台市,招远市,28.002514,115.421346
苏州市,吴中区,37.520933,121.364156
洛阳市,涧西区,34.671668,112.390753
天津市,宁河县,41.13438,121.182665
烟台市,芝罘区,31.941432,114.843162
宜春市,樟树市,37.408666,118.612643
锦州市,凌河区,43.898324,87.549219
信阳市,光山县,22.2656,113.533731
东营市,东营区,22.557213,110.064534
乌鲁木齐市,新市区,34.698066,113.616482
珠海市,香洲区,34.80618,113.351802
玉林市,玉州区,19.942909,110.507269
郑州市,二七区,28.997079,119.198664
海口市,美兰区,25.274019,102.767556
衢州市,龙游县,32.66246,116.265314
郑州市,荥阳市,34.354285,108.683415
昆明市,盘龙区,23.693604,114.654484
阜阳市,颍上县,41.164173,123.040474
咸阳市,秦都区,26.344269,114.370589
鞍山市,立山区,31.659719,118.554558
河源市,源城区,31.310003,116.828559
吉安市,遂川县,38.302139,116.862714
马鞍山市,雨山区,31.320265,104.53541
沧州市,沧县,30.766831,120.309147
德阳市,罗江县,39.726753,115.862836
湖州市,南浔区,32.488258,119.921174
昆明市,五华区,31.542866,120.315798
北京市,房山区,25.261306,102.649377
泰州市,海陵区,34.703799,113.03959
无锡市,南长区,24.668806,117.293055
郑州市,巩义市,34.638792,112.467093
昆明市,西山区,28.234472,113.721985
漳州市,南靖县,24.468728,118.134535
洛阳市,洛龙区,31.503024,118.646673
长沙市,浏阳市,31.777803,120.001766
厦门市,思明区,22.111413,100.927318
马鞍山市,当涂县,32.961954,119.996418
西双版纳傣族自治州,景洪市,41.118235,123.020706
泰州市,兴化市,24.98363,102.603478
常州市,天宁区,24.364782,116.171027
鞍山市,铁东区,25.244442,113.246956
梅州市,梅县,29.628545,115.459686
韶关市,乐昌市,33.265898,119.968501
九江市,瑞昌市,47.301073,123.944838
盐城市,盐都区,30.319416,122.260359
齐齐哈尔市,龙沙区,30.603891,114.219757
舟山市,岱山县,38.014621,114.586383
武汉市,硚口区,30.716529,121.105839
衡阳市,常宁市,26.365629,112.435504
石家庄市,裕华区,31.609369,120.282126
嘉兴市,平湖市,22.645991,114.017657
无锡市,北塘区,28.620772,116.071261
深圳市,龙华新区,27.924732,116.362974
三明市,三元区,26.173967,117.516896
抚州市,临川区,32.926343,117.478326
南昌市,南昌县,38.861262,116.972772
蚌埠市,龙子湖区,38.91337,121.625823
天津市,静海县,22.924531,108.417621
大连市,西岗区,29.356215,116.342048
南通市,崇川区,31.962661,120.887599
南宁市,兴宁区,36.195587,120.584906
九江市,都昌县,37.191354,118.225715
滨州市,博兴县,47.404866,124.021279
青岛市,崂山区,36.131582,120.376979
齐齐哈尔市,建华区,41.279286,123.175163
上海市,奉贤区,30.915122,121.560642
辽阳市,白塔区,30.105224,111.696205
青岛市,四方区,28.202707,112.908699
荆州市,松滋市,30.730255,103.816468
长沙市,岳麓区,29.151779,120.985563
成都市,温江区,27.863377,102.117888
台州市,天台县,30.612341,120.490411
凉山彝族自治州,西昌市,23.84957,100.139908
重庆市,南岸区,30.189257,121.338408
嘉兴市,桐乡市,29.541515,106.667178
宁波市,慈溪市,45.29271,124.867571
临沧市,临翔区,33.769108,113.365388
松原市,宁江区,37.753528,112.577409
平顶山市,卫东区,37.128686,122.406926
丹东市,振安区,40.211547,124.292197
太原市,小店区,51.81313,124.912002
威海市,荣成市,24.772706,114.731825
大兴安岭地区,呼玛县,37.724218,115.666657
赣州市,龙南县,32.605602,110.785953
衡水市,桃城区,23.625856,113.114585
清远市,清城区,27.941584,113.163511
株洲市,石峰区,30.518802,114.949569
十堰市,茅箭区,23.00421,113.070423
佛山市,禅城区,22.903546,113.832934
黄冈市,黄州区,32.039443,120.276899
东莞市,大岭山镇,31.656376,120.215294
荆州市,沙市区,36.192897,120.431146
泰州市,靖江市,30.325723,112.424109
无锡市,惠山区,28.700849,115.930906
南昌市,青山湖区,31.466579,120.248502
青岛市,李沧区,29.000021,114.446192
无锡市,滨湖区,26.603525,106.717914
九江市,修水县,25.037571,103.707386
贵阳市,云岩区,30.905748,120.908873
太原市,晋源区,37.748675,112.481587
嘉兴市,嘉善县,19.905351,110.335224
曲靖市,陆良县,32.068604,118.765057
海口市,龙华区,33.544347,117.890359
宿州市,泗县,38.054936,114.816476
南京市,鼓楼区,45.5901,126.682273
石家庄市,藁城市,36.778078,116.983157
哈尔滨市,平房区,36.016658,119.41617
济南市,天桥区,27.234509,109.168741
潍坊市,诸城市,40.766142,124.934106
南平市,建瓯市,28.322759,113.224946
长沙市,长沙县,27.044914,118.485147
怀化市,新晃侗族自治县,23.532997,116.814808
南宁市,青秀区,22.829218,108.54168
丹东市,宽甸满族自治县,29.717849,116.002768
汕头市,澄海区,46.72916,124.838427
九江市,浔阳区,21.762804,111.930036
大庆市,让胡路区,23.446661,113.220176
阳江市,江城区,29.378771,121.858666
宁波市,象山县,39.298619,121.956582
广州市,花都区,41.220764,123.220518
大连市,金州区,34.331331,108.926462
辽阳市,宏伟区,30.254453,103.865691
西安市,未央区,34.200308,113.392694
郑州市,惠济区,22.49891,108.370449
眉山市,彭山县,34.869447,113.628341
南宁市,良庆区,30.796354,104.34643
许昌市,禹州市,46.826706,130.362955
成都市,青白江区,31.596963,119.039927
佳木斯市,向阳区,21.204847,110.385196
南京市,溧水县,26.019664,119.334936
衡阳市,珠晖区,26.882225,112.68849
湛江市,霞山区,46.663311,125.042452
福州市,仓山区,31.435735,104.670514
大庆市,萨尔图区,30.603368,104.301181
绵阳市,涪城区,40.009614,117.441159
成都市,龙泉驿区,36.701982,119.034305
新乡市,封丘县,25.914933,111.716294
天津市,蓟县,27.972177,120.558404
潍坊市,潍城区,34.369072,115.914225
永州市,双牌县,35.040384,114.487678
商丘市,虞城县,35.33889,113.896722
温州市,瓯海区,31.235381,121.454756
重庆市,九龙坡区,28.657016,121.467376
新乡市,牧野区,33.664059,118.935664
上海市,静安区,28.604655,121.088318
淮安市,淮阴区,26.590232,116.012116
台州市,椒江区,46.535568,125.141767
台州市,黄岩区,32.030369,118.829884
大庆市,龙凤区,41.7055,85.709418
赣州市,宁都县,35.992495,103.771994
南京市,白下区,36.365389,118.558256
巴音郭楞蒙古自治州,库尔勒市,30.526043,120.885576
泰州市,泰兴市,45.883168,131.475224
兰州市,七里河区,32.213679,120.135346
嘉兴市,海盐县,37.407696,112.736433
潍坊市,临朐县,42.277909,127.623938
七台河市,茄子河区,22.034639,112.715908
晋中市,太谷县,32.814464,108.896243
江门市,台山市,24.29075,116.115952
安康市,汉滨区,29.474442,111.90685
大连市,高新园区,29.868332,121.889419
白山市,抚松县,24.108073,110.976908
泸州市,纳溪区,28.614041,105.390606
黄石市,黄石港区,30.233765,115.073159
梅州市,梅江区,31.227203,121.496072
常德市,津市市,33.226193,115.398643
宁波市,北仑区,34.154014,118.85775
贺州市,昭平县,31.000093,120.65735
上海市,黄浦区,23.022384,114.097261
苏州市,吴江区,28.364109,118.277125
阜阳市,界首市,30.002365,120.592467
上饶市,广丰县,31.362245,119.790265
东莞市,桥头镇,23.494712,115.916825
宿迁市,沭阳县,25.919433,117.328535
无锡市,宜兴市,34.271474,108.991539
绍兴市,绍兴市区,38.090279,116.389236
揭阳市,揭西县,39.345312,116.796123
新乡市,长垣县,43.788917,125.430153
三明市,永安市,22.979369,114.024589
西安市,新城区,23.057083,113.58838
沧州市,泊头市,23.096486,113.658906
廊坊市,安次区,41.240401,123.692575
长春市,净月开发区,32.66384,110.717401
东莞市,常平镇,45.131092,125.564563
东莞市,麻涌镇,35.283537,115.470025
东莞市,中堂镇,35.695398,111.839209
十堰市,张湾区,30.59925,106.758912
本溪市,平山区,25.031311,102.828819
松原市,扶余县,24.744894,118.692481
临汾市,翼城县,24.309336,111.688352
广安市,广安区,38.314446,116.844854
菏泽市,牡丹区,35.093893,112.40383
昆明市,官渡区,40.971406,117.948355
贺州市,八步区,26.062154,119.324063
泉州市,石狮市,27.748135,118.011543
沧州市,运河区,41.848913,123.415376
承德市,双桥区,28.941983,118.939044
济源市,济源市,36.106472,103.56268
南平市,武夷山市,24.936275,118.607432
福州市,台江区,23.294581,112.904677
沈阳市,皇姑区,34.406832,119.392775
兰州市,西固区,32.392636,119.200955
衢州市,衢江区,38.033365,114.43814
泉州市,丰泽区,38.437832,112.6052
连云港市,灌云县,25.287138,110.274549
佛山市,三水区,39.793571,113.112305
扬州市,仪征市,41.71161,123.444034
忻州市,忻府区,24.640973,118.029412
石家庄市,桥西区,27.839383,114.290358
桂林市,秀峰区,41.061329,123.014005
朔州市,怀仁县,30.427866,103.832177
厦门市,集美区,40.929361,111.791327
沈阳市,浑南新区,36.816097,118.077151
宜春市,袁州区,37.915556,112.629836
鞍山市,千山区,31.673335,112.372745
呼和浩特市,新城区,35.032,108.8355
成都市,新津县,41.791642,126.396643
太原市,杏花岭区,34.771778,111.281295
淄博市,张店区,31.631258,116.661941
白山市,浑江区,22.811576,114.084428
襄阳市,宜城市,42.913197,125.210998
铜川市,耀州区,33.488908,119.836497
三门峡市,湖滨区,41.13683,121.118645
六安市,金安区,44.587975,129.783915
玉溪市,红塔区,24.369854,102.499895
东莞市,塘厦镇,45.710449,126.792044
辽源市,龙山区,36.78855,119.951062
锦州市,太和区,22.743001,113.99504
盐城市,建湖县,34.751029,114.38561
牡丹江市,阳明区,40.837646,114.861623
青岛市,平度市,31.905375,117.331224
哈尔滨市,香坊区,38.921778,121.582618
深圳市,光明新区,20.429968,110.257847
张家口市,桥西区,25.395599,118.140971
开封市,禹王台区,31.179805,104.415258
泉州市,永春县,39.818843,117.734753
合肥市,瑶海区,27.160925,114.960437
大连市,沙河口区,30.293966,113.387448
湛江市,徐闻县,45.799106,126.795575
德阳市,旌阳区,31.838185,117.23128
唐山市,玉田县,29.555236,106.546967
吉安市,吉州区,47.706873,125.294633
仙桃市,仙桃市,28.751865,105.9316
齐齐哈尔市,依安县,29.866596,106.520342
哈尔滨市,道外区,21.28382,110.512726
合肥市,蜀山区,29.742561,113.889168
重庆市,渝中区,22.604089,114.480919
抚顺市,顺城区,28.663533,105.128778
泸州市,合江县,31.93536,112.017083
重庆市,北碚区,34.30141,117.296129
湛江市,坡头区,26.984977,111.332372
咸宁市,赤壁市,30.985286,114.364644
襄阳市,襄城区,34.20853,116.812422
深圳市,大鹏新区,44.491714,129.584924
宜宾市,江安县,36.487909,120.521106
徐州市,鼓楼区,24.944908,103.192815
邵阳市,邵阳县,33.488642,119.025325
武汉市,黄陂区,40.932018,107.44184
宿州市,萧县,34.222487,117.276176
牡丹江市,西安区,38.478591,106.24265
青岛市,即墨市,35.24116,113.276351
淮安市,清浦区,36.771219,117.875108
昆明市,宜良县,32.889696,117.305515
巴彦淖尔市,临河区,37.272446,121.56924
徐州市,云龙区,29.85465,114.391867
银川市,金凤区,40.532843,117.001201
淄博市,周村区,30.803888,114.762085
焦作市,山阳区,32.262396,116.768939
蚌埠市,禹会区,22.606981,114.278483
烟台市,牟平区,38.464266,106.382121
咸宁市,咸安区,41.860404,123.785996
北京市,密云县,24.781705,118.114685
银川市,兴庆区,25.427592,119.074103
武汉市,新洲区,34.241947,117.175584
六安市,寿县,30.459478,104.040899
深圳市,盐田区,29.619318,106.713615
抚顺市,望花区,28.703758,115.864805
厦门市,同安区,34.656801,119.260574
莆田市,荔城区,41.347752,123.901737
徐州市,泉山区,29.551645,104.953979
成都市,双流县,30.835081,121.248408
连云港市,新浦区,31.148577,103.889866
重庆市,江北区,30.958553,109.355667
南昌市,红谷滩新区,37.865737,112.663203
内江市,市中区,37.571627,121.199617
本溪市,明山区,31.785303,106.739266
上海市,金山区,38.969791,117.39291
成都市,彭州市,37.032806,117.150021
重庆市,奉节县,27.637701,120.389387
烟台市,烟台开发区,30.944617,114.016142
巴中市,巴州区,37.670007,118.814423
太原市,迎泽区,31.571904,121.158978
济南市,济阳县,25.791849,107.113088
温州市,平阳县,21.73666,101.461959
孝感市,孝南区,25.921831,115.985867
天津市,津南区,35.127031,118.517311
苏州市,太仓市,29.999677,105.400876
东营市,垦利县,22.729894,113.580224
赣州市,瑞金市,35.852858,119.85631
西双版纳傣族自治州,勐腊县,43.872223,125.611485
黔南布依族苗族自治州,平塘县,32.109229,118.772553
资阳市,安岳县,31.578255,114.3103
临沂市,河东区,37.906161,114.632968
广州市,南沙区,31.006481,104.298476
南京市,下关区,22.374201,112.548041
青岛市,胶南市,29.871101,122.278765
长春市,二道区,44.879423,126.602501
石家庄市,栾城县,44.510507,125.769044
孝感市,大悟县,40.788864,111.876335
德阳市,广汉市,26.761885,116.363117
江门市,开平市,27.913341,120.811078
舟山市,普陀区,29.66912,118.093082
温州市,龙湾区,38.322588,77.014833
长春市,榆树市,29.42414,106.465322
抚州市,广昌县,37.407476,121.451535
黄山市,休宁县,36.115523,103.719156
呼和浩特市,赛罕区,29.614714,118.895765
长春市,德惠市,31.939946,119.903154
喀什地区,莎车县,32.971613,118.538232
重庆市,大渡口区,39.533686,116.694236
烟台市,莱山区,47.483737,130.247501
兰州市,安宁区,27.766945,112.004619
杭州市,淳安县,23.680249,113.684824
常州市,新北区,26.590155,118.254737
淮安市,盱眙县,21.270307,110.039895
廊坊市,广阳区,41.765562,123.599872
揭阳市,东山区,40.658778,109.903675
广州市,从化市,28.447361,119.849952
南平市,延平区,47.741959,128.90058
娄底市,娄星区,30.015793,120.618327
湛江市,遂溪县,29.599589,104.593976
沈阳市,东陵区,33.844426,113.963899
包头市,青山区,42.268753,118.757106
伊春市,伊春区,33.748697,112.740309
丽水市,莲都区,37.292198,112.469066
绍兴市,越城区,47.303489,124.262931
漯河市,临颍县,41.990902,121.652705
赤峰市,松山区,39.173149,117.220297
内江市,威远县,22.76871,115.424358
洛阳市,伊川县,34.407088,112.468877
阜新市,海州区,36.976575,121.529788
天津市,河北区,38.050513,115.920118
平顶山市,鲁山县,35.410529,116.59834
齐齐哈尔市,铁锋区,33.190868,120.546274
晋中市,祁县,23.07546,113.73628
汕尾市,城区,24.729638,118.558651
威海市,乳山市,42.683934,125.454809
衡水市,武强县,41.261816,125.290028
济宁市,市中区,34.50304,115.637731
东莞市,高步镇,26.102311,111.563919
盐城市,大丰市,33.861905,113.568983
辽源市,东丰县,40.747387,111.658553
商丘市,梁园区,22.824523,112.683258
泉州市,晋江市,27.103196,110.599739
本溪市,桓仁满族自治县,28.969928,117.273279
永州市,零陵区,28.131213,112.360465
邵阳市,洞口县,28.247205,117.057706
许昌市,襄城县,35.28615,113.914619
长沙市,宁乡县,24.371128,109.483181
佛山市,高明区,21.676116,110.86861
呼和浩特市,玉泉区,46.747537,126.957863
景德镇市,乐平市,31.336381,118.9719
鹰潭市,月湖区,28.916489,106.923721
新乡市,红旗区,27.156737,111.486639
柳州市,城中区,37.388791,107.754293
绥化市,北林区,36.248031,119.959421
茂名市,茂南区,28.452236,117.41665
青岛市,胶州市,36.112514,116.744762
南京市,高淳县,36.535532,118.913914
重庆市,万盛区,39.126626,117.261693
榆林市,定边县,30.740828,111.313706
邵阳市,大祥区,39.126626,117.261693
泰安市,肥城市,31.871302,121.678822
上饶市,弋阳县,22.223898,111.694449
三亚市,河东区,30.149933,105.819679
潍坊市,昌乐县,42.972383,120.940789
南通市,启东市,35.469377,119.377852
天津市,河东区,34.097096,114.855701
宜昌市,西陵区,25.638121,119.377547
阳江市,阳春市,21.489723,109.251591
菏泽市,东明县,30.320603,114.901016
重庆市,潼南县,31.290123,114.628119
北海市,银海区,31.589182,104.368786
通辽市,奈曼旗,31.732638,117.036261
鄂州市,鄂城区,19.741334,110.48011
日照市,东港区,34.638922,119.467017
周口市,太康县,33.378948,120.206351
福州市,福清市,28.774056,119.720833
连云港市,连云区,24.01917,109.771968
盐城市,亭湖区,23.529453,116.369224
黄冈市,红安县,37.685622,116.814556
海口市,琼山区,39.657846,118.18507
合肥市,肥西县,41.027766,113.112832
绵阳市,安县,47.258895,123.089103
金华市,武义县,27.684915,111.493942
揭阳市,榕城区,32.47853,105.785317
来宾市,象州县,39.457043,117.034578
德州市,宁津县,26.397917,106.665273
乌兰察布市,集宁区,24.509486,112.68133
唐山市,路北区,21.662036,108.449166
齐齐哈尔市,龙江县,34.513762,109.073775
娄底市,冷水江市,37.661863,116.508033
广元市,利州区,29.017744,121.488229
西安市,高陵县,36.716115,119.142634
天津市,武清区,30.983353,119.81942
南京市,六合区,32.059062,118.569125
清远市,阳山县,34.860573,114.340988
长春市,经济技术开发区,24.708193,113.379606
贵阳市,花溪区,34.423853,108.817312
